# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:04:50.618794
# Scan File: high_res_cell
# Grid: 25x25 (625 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 10
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance,EM9_Abundance,EM10_Abundance
4.000000000000000000e+00,2.000000000000000000e+00,8.882288932800292969e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.068342082202434540e-02,1.142406240105628967e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,4.282388985157012939e-01,1.825867407023906708e-02,1.545807346701622009e-02,0.000000000000000000e+00,3.550415635108947754e-01,2.057743221521377563e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.485295221209526062e-02,0.000000000000000000e+00
6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.568574607372283936e-01,1.629486121237277985e-02,3.678066888824105263e-03,2.744136452674865723e-01,4.084277153015136719e-01,0.000000000000000000e+00,1.427865326404571533e-01,0.000000000000000000e+00,9.193778969347476959e-03
7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.107130169868469238e-01,2.044009417295455933e-02,0.000000000000000000e+00,3.169110044836997986e-02,4.153573215007781982e-01,0.000000000000000000e+00,6.312222778797149658e-02,0.000000000000000000e+00,7.759476453065872192e-02
8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.195280313491821289e-01,1.965076662600040436e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.029904067516326904e-01,1.780931502580642700e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,2.000000000000000000e+00,1.575049594976007938e-03,2.908712327480316162e-01,0.000000000000000000e+00,2.841753885149955750e-03,0.000000000000000000e+00,1.321759913116693497e-02,6.047051548957824707e-01,9.870963543653488159e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.865020513534545898e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.848794899880886078e-03
1.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.886496506631374359e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.284152269363403320e-02,9.697513580322265625e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.073904896154999733e-03,2.555011026561260223e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.025539010763168335e-02,9.420142173767089844e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.270497143268585205e-01,1.128677930682897568e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.675345703959465027e-02,8.037350773811340332e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.406160324811935425e-02
1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,8.290144056081771851e-02,1.059411652386188507e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.014081329107284546e-01,7.351500988006591797e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.804726384580135345e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.450025916099548340e-01,6.754987239837646484e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.207552082836627960e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.815919399261474609e-01,5.264078974723815918e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
