# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8
4.955049999999999955e+02,9.108767138285864262e-02,3.068556838559920869e-02,1.605849417204496116e-02,3.285607735520484907e-02,1.149390641758515560e-02,1.946417323714446507e-02,4.815931578699832877e-02,3.612335552219510942e-03
4.983249999999999886e+02,9.370869330162771849e-02,3.251732490072051923e-02,1.645561299924429982e-02,3.841334804817400639e-02,1.738514680689066255e-02,2.065248114229339266e-02,5.203678559132506737e-02,3.263279176963115175e-03
5.011440000000000055e+02,9.073953485843186395e-02,3.192748267444434074e-02,1.630114199764765015e-02,4.722635821330960909e-02,2.642712186356697621e-02,1.939503684921237842e-02,5.287947162241836419e-02,9.885413323433147464e-03
5.039619999999999891e+02,8.687573382638341668e-02,3.050110599784926560e-02,1.577368893511132270e-02,4.803257115184345061e-02,2.581738126150734391e-02,1.909426264438059476e-02,5.139288519817107603e-02,1.574608708417191139e-02
5.067789999999999964e+02,8.232157120892660829e-02,3.021019456761545041e-02,1.414257818821527957e-02,5.558092756584658706e-02,2.960889066765286237e-02,1.911946950962566116e-02,5.619436803823574245e-02,1.887358027577154540e-02
5.095950000000000273e+02,7.478453239940360819e-02,2.820051699266920564e-02,1.088527477617941969e-02,4.930511108980283053e-02,2.144195673309171046e-02,1.821412807716754623e-02,5.190248379354502062e-02,1.193251243371908424e-02
5.124099999999999682e+02,6.893006421657708882e-02,2.547654536082638241e-02,1.004543362311259569e-02,3.654916180072905613e-02,1.086939210149687370e-02,1.717403811552601495e-02,4.463911024762051705e-02,1.145323066263557836e-02
5.152240000000000464e+02,6.287854596092903869e-02,2.211885493514453502e-02,9.225819456258384926e-03,2.671799736126645453e-02,1.252392421925350302e-03,1.509280963593847766e-02,3.654600195748564095e-02,1.294174449065410744e-02
5.180380000000000109e+02,5.413134246916245784e-02,2.000191393805715243e-02,8.310430245781322972e-03,2.919903954180471523e-02,2.694902352327437078e-03,1.233444657428858955e-02,3.356431673981234709e-02,1.643001546912318395e-02
5.208500000000000227e+02,4.304207534066965823e-02,1.822129922300790711e-02,5.640104971823288460e-03,3.487650220848836913e-02,9.748298845795156861e-03,1.032821547852299897e-02,2.996714599669773188e-02,1.566531847392707566e-02
5.236620000000000346e+02,3.854012054963041473e-02,1.532202910760827042e-02,6.280498600486057389e-03,2.418548309529995263e-02,2.791028162893617950e-03,1.051150212521989591e-02,2.475223899206506484e-02,1.404003985775992280e-02
5.264719999999999800e+02,3.973895290249052775e-02,1.389146627791826988e-02,6.850811923357597900e-03,1.755771874834674909e-02,-9.512686469322854249e-04,1.124224281850000687e-02,2.007169507659450208e-02,1.388795325789517372e-02
5.292820000000000391e+02,4.183269091524842442e-02,1.569835583778275354e-02,8.657569183470336521e-03,1.105083820461600849e-02,6.494058650068391947e-04,1.143530344691591830e-02,1.598893070205101644e-02,1.429164223762800084e-02
5.320910000000000082e+02,4.145130866095214639e-02,1.847165280972268633e-02,8.023142096400306608e-03,1.415336834870418135e-02,8.090089993607239849e-03,1.099371130774840291e-02,1.906111132116002777e-02,1.780710228161973274e-02
5.348990000000000009e+02,3.510933287462862651e-02,1.530104903090527373e-02,7.055841113437562491e-03,3.895945031151554910e-04,-3.730599186210423190e-03,8.907838216409481868e-03,1.585717659907352056e-02,1.447075141687499678e-02
5.377060000000000173e+02,2.996563377394884445e-02,1.177372998461286187e-02,5.853251085991881437e-03,-2.830590812843055901e-03,-1.343745109650973726e-02,6.627896465487148267e-03,1.336453116945228274e-02,1.120580178086298499e-02
