# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance
2.500000000000000000e+01,0.000000000000000000e+00,3.854917362332344055e-02,2.805039882659912109e-01,5.902448669075965881e-03,0.000000000000000000e+00,7.520393282175064087e-02,4.415574371814727783e-01,1.487301588058471680e-01,5.483480915427207947e-02
2.600000000000000000e+01,0.000000000000000000e+00,6.470540910959243774e-02,2.319723665714263916e-01,1.166606787592172623e-02,0.000000000000000000e+00,7.815141975879669189e-02,4.318451285362243652e-01,2.293435484170913696e-01,6.139409728348255157e-03
2.700000000000000000e+01,0.000000000000000000e+00,4.161550104618072510e-02,3.939847946166992188e-01,2.106247702613472939e-03,0.000000000000000000e+00,1.476248819380998611e-02,2.397293299436569214e-01,3.440801203250885010e-01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,1.790163815021514893e-01,0.000000000000000000e+00,3.034095466136932373e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.115452647209167480e-01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00,3.725215792655944824e-01,0.000000000000000000e+00,2.018419802188873291e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.186504721641540527e-01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00,4.499005973339080811e-01,1.652525663375854492e-01,2.989181280136108398e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.086041569709777832e-01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,2.843337655067443848e-01,3.894534409046173096e-01,3.821792304515838623e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.709501028060913086e-02,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00,6.275859475135803223e-02,4.374166429042816162e-01,2.862504422664642334e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.097962781786918640e-01,1.390519589185714722e-01,1.710033789277076721e-02
3.300000000000000000e+01,0.000000000000000000e+00,4.487479478120803833e-02,3.951434493064880371e-01,2.232681065797805786e-01,0.000000000000000000e+00,7.888679392635822296e-03,1.830720752477645874e-01,1.052307784557342529e-01,9.008594602346420288e-02
3.400000000000000000e+01,0.000000000000000000e+00,8.265414088964462280e-02,2.193473130464553833e-01,2.960978150367736816e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.370638251304626465e-01,1.455135792493820190e-01,9.126350283622741699e-02
3.500000000000000000e+01,0.000000000000000000e+00,2.517732093110680580e-03,3.329316377639770508e-01,2.416296899318695068e-01,6.290271878242492676e-02,0.000000000000000000e+00,2.000901401042938232e-01,1.203072071075439453e-01,9.217425435781478882e-02
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.331992298364639282e-01,2.996546030044555664e-01,7.870717346668243408e-02,0.000000000000000000e+00,2.700853645801544189e-01,1.576376855373382568e-01,1.280832141637802124e-01
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.532355517148971558e-02,3.163520991802215576e-01,7.144969701766967773e-02,0.000000000000000000e+00,2.896594405174255371e-01,1.448303759098052979e-01,1.478209644556045532e-01
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.564140200614929199e-01,2.410982251167297363e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.876042187213897705e-01,6.526749581098556519e-02,1.850274652242660522e-01
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.888878226280212402e-01,1.994605064392089844e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.774136871099472046e-01,4.207864403724670410e-02,2.247912436723709106e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.868438065052032471e-01,2.465020306408405304e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.800551712512969971e-01,4.556363224983215332e-01,1.467127948999404907e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.879884779453277588e-01,4.444887042045593262e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.492116138339042664e-02,0.000000000000000000e+00,1.618928313255310059e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,4.567491114139556885e-01,1.212461963295936584e-01,3.929855301976203918e-02,0.000000000000000000e+00,1.695598810911178589e-01,8.490783721208572388e-02,2.081787884235382080e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,7.709138393402099609e-01,0.000000000000000000e+00,4.003734886646270752e-02,0.000000000000000000e+00,8.131829649209976196e-02,0.000000000000000000e+00,1.493985652923583984e-01,0.000000000000000000e+00
